,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE
3211,South Texas Barber College Inc,www.southtexasbarbercollege.net/,PS,PS,southtexasbarbercollege.homestead.com/~local/~Preview/consumerinformation.html?_=1527801229295,25734.0,31213.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14350.0,,,,,
3212,South Texas College of Law Houston,www.stcl.edu/,PS,PS,www.stcl.edu/wp-content/uploads/2016/10/2016-2017-Tuition-and-Fees.pdf,,,,,,,,,,,,,,,,,,
3213,South Texas Vocational Technical Institute-Weslaco,https://www.stvt.edu/,11593,122.905093828999,https://www.stvt.edu/NetPrice/Weslaco/,29737.0,31213.0,0.3426,0.0465,0.0073,0.934,0.0,0.0,0.0024,0.0098,0.0,0.0,18783.0,19188.0,,22196.0,,0.049596836464605984
3214,Miller-Motte College-STVT-McAllen,https://www.stvt.edu/,15917,168.74669011267,https://www.stvt.edu/NetPrice/McAllen/,31102.0,31213.0,0.4281,0.1826,0.0104,0.8029,0.0,0.0,0.0,0.0041,0.0,0.0,15850.0,17765.0,20370.0,21321.0,14358.0,0.06510707611574947
3215,Southern Methodist University,https://www.smu.edu/,19500,206.732453175666,https://www.smu.edu/EnrollmentServices/FinancialAid/NetPriceCalculator,78354.0,53747.0,0.8126,0.6062,0.0495,0.1454,0.0832,0.0028,0.0009,0.0464,0.0241,0.0415,28267.0,24799.0,29289.0,37937.0,51912.0,0.03166129920754514
3216,Southwest School of Business and Technical Careers-San Antonio,www.sws.edu/,7273,77.1059042023908,www.sws.edu/SID/npcalc.htm,24251.0,31213.0,0.3467,0.0556,0.0556,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,20166.0,20787.0,,,,0.03815392562899219
3217,Southwest Texas Junior College,https://www.swtjc.edu/,6200,65.7303184455964,www.collegeforalltexans.com/apps/CollegeMoney/,35563.0,40241.5,0.5085,0.0652,0.0048,0.9132,0.0052,0.0068,0.0,0.0,0.0048,0.0,6459.0,6800.0,8642.0,12437.0,13163.0,0.02217933867635342
3218,Southwestern Assemblies of God University,www.sagu.edu/,24725,262.126148962479,https://connect.sagu.edu/register/?id=a906aa05-ca73-4dca-9db2-875d4df2305b,46238.0,53747.0,0.6399,0.5066,0.1408,0.2523,0.0118,0.0286,0.0028,0.0453,0.0021,0.0098,17856.0,20082.0,21800.0,21414.0,22598.0,0.06802875962519461
3219,Southwestern University,https://www.southwestern.edu/,25000,265.041606635469,https://www.southwestern.edu/scholarships-financial-aid/grants-loans/net-price-calculator/,56878.0,53747.0,0.7487,0.5601,0.0554,0.2682,0.0405,0.0027,0.0007,0.0493,0.0061,0.0169,22667.0,23294.0,24803.0,26069.0,36202.0,0.05591791693845825
3220,Stephen F Austin State University,https://www.sfasu.edu/,23409,248.174358789188,https://apps.highered.texas.gov/apps/NPC/?Fice=003624,49634.0,53747.0,0.7122,0.5817,0.1241,0.213,0.0119,0.0054,0.0004,0.0433,0.0134,0.0067,10757.0,11484.0,14359.0,19094.0,21919.0,0.06000105382339235
3221,Texas State University,https://www.txst.edu/,21000,222.634949573794,https://www.admissions.txst.edu/pay-for-college/cost-of-attendance.html,56906.0,53747.0,0.7487,0.4016,0.0934,0.4205,0.0257,0.0022,0.0009,0.0362,0.0141,0.0054,11814.0,12231.0,12697.0,16251.0,21700.0,0.04694793861606031
3222,Southwestern Adventist University,www.swau.edu/,26998,286.223731837776,https://swau.edu/admissions-aid/determine-cost,52946.0,53747.0,0.6541,0.1927,0.1093,0.4082,0.0516,0.0046,0.003,0.0486,0.132,0.0501,17794.0,18355.0,18581.0,22302.0,23299.0,0.06487146870496943
3223,Southwestern Christian College,www.swcc.edu/,PS,PS,www.collegeforalltexans.com/apps/CollegeMoney/,32672.0,40241.5,0.2588,0.0119,0.9524,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,12110.0,11928.0,11208.0,10387.0,11720.0,
3224,Sul Ross State University,www.sulross.edu/,15900,168.566461820158,www.highered.texas.gov/apps/NPC/?Fice=003625,41871.0,53747.0,0.5857,0.1967,0.0669,0.703,0.0033,0.0054,0.0013,0.0147,0.008,0.0007,10305.0,12867.0,14596.0,16356.0,19497.0,0.04831022764782059
3225,Tarleton State University,www.tarleton.edu/,19606,207.8562295878,www.shoppingsheet.com/Shopping/Landing/tarleton,53040.0,53747.0,0.7537,0.6342,0.0647,0.2308,0.0098,0.0057,0.0007,0.0362,0.0112,0.0066,15240.0,17202.0,20111.0,22043.0,22236.0,0.047026296286832574
3226,Tarrant County College District,www.tccd.edu/,9104,96.5175514723726,www.tccd.edu/services/paying-for-college/tuition-and-fees/cost-of-attendance/,42727.0,40241.5,0.5761,0.2822,0.1634,0.3664,0.065,0.003,0.0016,0.0389,0.065,0.0145,5413.0,4472.0,7432.0,9864.0,10825.0,0.027107230034134653
3227,Temple College,www.templejc.edu/,12813,135.83912423281,www.highered.texas.gov/apps/NPC/?Fice=003627&_ga=2.101754689.1165086895.1660053287-1549694279.1658765013,38678.0,40241.5,0.5686,0.3709,0.1648,0.3349,0.0194,0.0059,0.0034,0.061,0.0397,0.0,4122.0,4505.0,7109.0,9585.0,9818.0,0.042144616856965716
3228,University of Texas Southwestern Medical Center,www.utsouthwestern.edu/,PS,PS,www.utsouthwestern.edu/about-us/administrative-offices/financial-aid/cost-of-attendance/,76860.0,,,,,,,,,,,,,,,,,
3229,The University of Texas Health Science Center at San Antonio,www.uthscsa.edu/,15000,159.024963981281,https://students.uthscsa.edu/financialaid/,82206.0,53747.0,0.9258,0.2752,0.0548,0.5656,0.0675,0.0025,0.0013,0.0242,0.0076,0.0013,,,,,,0.023213628783487483
3230,The University of Texas Medical Branch at Galveston,https://www.utmb.edu/,13396,142.01989449955,https://www.utmb.edu/enrollmentservices/resources/studentaccounts/tuition-and-fee-sheets,92961.0,53747.0,0.9624,0.3333,0.0991,0.2632,0.2598,0.0034,0.0017,0.0274,0.0068,0.0051,,,,,,0.018332835640694482
